trade_date,ticker,title_clean,title,ret_fwd_1d,y
2025-11-25,AMAT,Applied Materials shares rise as UBS upgrades to Buy on bullish DRAM cycle,Applied Materials shares rise as UBS upgrades to  Buy  on bullish DRAM cycle,0.03097415779460344,1
2025-12-03,AMAT,"Applied Materials ( AMAT ) Positioned for DRAM and TSMC - Driven WFE Growth , Says Morgan Stanley","Applied Materials ( AMAT ) Positioned for DRAM and TSMC - Driven WFE Growth , Says Morgan Stanley",0.00301529071165052,1
2025-12-05,AMAT,"Tata , Cyient , Applied Materials units emerge as L1 bidders for SCL fab upgrade","Tata , Cyient , Applied Materials units emerge as L1 bidders for SCL fab upgrade",0.0005970285899603578,1
2025-11-03,AMD,"After confusing driver release , AMD says old GPUs are still actively supported","After confusing driver release , AMD says old GPUs are still actively supported",-0.03697281367375582,0
2025-11-03,AMD,"Adeia Sues AMD Over Semiconductor Patents , Including Advanced 3D Stacking Used In Ryzen X3D CPUs","Adeia Sues AMD Over Semiconductor Patents , Including Advanced 3D Stacking Used In Ryzen X3D CPUs",-0.03697281367375582,0
2025-11-03,AMD,Is Advanced Micro Devices ( AMD ) The Best Semiconductor Stock to Benefit from AI Bull Run Until 2030 ?,Is Advanced Micro Devices ( AMD ) The Best Semiconductor Stock to Benefit from AI Bull Run Until 2030 ? ,-0.03697281367375582,0
2025-11-04,AMD,AMD Radeon Reversal : Old GPUs Get New Life in Gaming ( 62 characters ),AMD Radeon Reversal : Old GPUs Get New Life in Gaming ( 62 characters ) ,0.0251149107932942,1
2025-11-05,AMD,AMD New CPUs Might Just Kill Low - End GPUs Soon,AMD New CPUs Might Just Kill Low - End GPUs Soon,-0.0726797120896786,0
2025-11-08,AMD,"Here How Nvidia , AMD , and Broadcom Could Help This Super Semiconductor ETF Turn $500 Per Month Into $1 Million","Here How Nvidia , AMD , and Broadcom Could Help This Super Semiconductor ETF Turn $500 Per Month Into $1 Million",-0.026477545570138372,0
2025-11-08,AMD,"Microsoft Has Reportedly Developed Toolkits to Break NVIDIA CUDA Dominance , Slashing Inference Costs with AMD AI GPUs","Microsoft Has Reportedly Developed  Toolkits  to Break NVIDIA CUDA Dominance , Slashing Inference Costs with AMD AI GPUs",-0.026477545570138372,0
2025-11-10,AMD,"AMD Advances Its AI Strategy With The Acquisition of MK1 , Brings High - Speed Inference & Reasoning Technologies Optimized For Instinct GPUs","AMD Advances Its AI Strategy With The Acquisition of MK1 , Brings High - Speed Inference & Reasoning Technologies Optimized For Instinct GPUs",-0.026477545570138372,0
2025-11-12,AMD,US Stocks Hover Near Record Highs as AMD AI Ambitions Fuel Semiconductor Rally,US Stocks Hover Near Record Highs as AMD AI Ambitions Fuel Semiconductor Rally,-0.04221873118363728,0
2025-11-12,AMD,"AMD Soars on Ambitious AI Vision , Reshaping Semiconductor Landscape","AMD Soars on Ambitious AI Vision , Reshaping Semiconductor Landscape",-0.04221873118363728,0
2025-11-14,AMD,NVIDIA and AMD Could Raise GPU Prices in 2026 Due to Memory Costs,NVIDIA and AMD Could Raise GPU Prices in 2026 Due to Memory Costs,-0.025485164087161838,0
2025-11-15,AMD,"This AMD GPU Deal Will Make You Forget Every Other One Out There , as the Radeon RX 9070 XT Drops to Just $579 . 99","This AMD GPU Deal Will Make You Forget Every Other One Out There , as the Radeon RX 9070 XT Drops to Just $579 . 99",-0.04253289042328301,0
2025-11-18,AMD,RAM pricing crisis threatens graphics cards – rumor has it some AMD and Nvidia budget GPUs could be scrapped,RAM pricing crisis threatens graphics cards – rumor has it some AMD and Nvidia budget GPUs could be scrapped,-0.029267403842426765,0
2025-11-24,AMD,"Elon Musk Claims Tesla Must Outproduce NVIDIA , AMD , and All Other AI Chip Makers in Volume if It Wants to Win the Real - World AI Race","Elon Musk Claims Tesla Must Outproduce NVIDIA , AMD , and All Other AI Chip Makers in Volume if It Wants to Win the Real - World AI Race",-0.0414787167745283,0
2025-11-24,AMD,"Exynos 2200 Unveiled , AMD RDNA2 Xclipse GPU , And More : Nepal News","Exynos 2200 Unveiled , AMD RDNA2 Xclipse GPU , And More : Nepal News",-0.0414787167745283,0
2025-11-28,AMD,"Im tracking the best Black Friday GPU deals lowest prices on RTX 50 - series , AMD Radeon and more , but grab one now before the prices surge","Im tracking the best Black Friday GPU deals lowest prices on RTX 50 - series , AMD Radeon and more , but grab one now before the prices surge",0.010251439985533128,1
2025-11-29,AMD,"AMD Zyphra GPU Cluster Gives Birth To ZAYA 1 MoE AI Model , Smokes Llama3 . 1","AMD Zyphra GPU Cluster Gives Birth To ZAYA 1 MoE AI Model , Smokes Llama3 . 1",-0.020567842767811984,0
2025-11-30,AMD,AMD plans frustrating GPU chip change,AMD plans frustrating GPU chip change,-0.020567842767811984,0
2025-12-01,AMD,AMD GPU Managed Memory Support Merged For The GCC 16 Compiler,AMD GPU Managed Memory Support Merged For The GCC 16 Compiler,-0.020567842767811984,0
2025-12-02,AMD,Nvidia Holds 92 % of GPU Market Share Despite Modest Gains by AMD and Intel,Nvidia Holds 92 % of GPU Market Share Despite Modest Gains by AMD and Intel,0.010964507294748405,1
2025-12-04,AMD,HPE and AMD are about to unleash Helios AI racks in 2026 with insane GPU counts and Venice CPUs,HPE and AMD are about to unleash Helios AI racks in 2026 with insane GPU counts and Venice CPUs,0.009213841710018933,1
2025-12-04,AMD,"AMD raises Radeon RX 9000 GPU prices , increasing by $10 for every 8GB of VRAM another price hike is also scheduled for January 2026","AMD raises Radeon RX 9000 GPU prices , increasing by $10 for every 8GB of VRAM another price hike is also scheduled for January 2026",0.009213841710018933,1
2025-12-05,AMD,AMD Ryzen AI 9 HX 470 & Ryzen AI 7 450 Gorgon CPUs Leak : Flagship With Fastest iGPU At 3 . 1 GHz & Up To 5 . 25 GHz Clocks,AMD Ryzen AI 9 HX 470 & Ryzen AI 7 450  Gorgon  CPUs Leak : Flagship With Fastest iGPU At 3 . 1 GHz & Up To 5 . 25 GHz Clocks,0.014405649273126597,1
2025-12-05,AMD,Intel Panther Lake Xe3 iGPU Beats AMD Radeon 840M by 26 % in Early Benchmarks,Intel Panther Lake Xe3 iGPU Beats AMD Radeon 840M by 26 % in Early Benchmarks,0.014405649273126597,1
2025-12-11,AMD,Ubuntu move aims to simplify AMD AI GPU use,Ubuntu move aims to simplify AMD AI GPU use,-0.048096437920576274,0
2025-12-11,AMD,Intel fails to get EU antitrust ruling overturned in longstanding 16 - year AMD competition case chipmaker sees $1 . 2 billion fine reduced to $278 million,Intel fails to get EU antitrust ruling overturned in longstanding 16 - year AMD competition case chipmaker sees $1 . 2 billion fine reduced to $278 million,-0.048096437920576274,0
2025-12-16,AMD,"IT News Online - ClearML Enhances AMD Instinct GPU Partitioning to Maximize Utilization , Centralize Management , and Accelerate Enterprise AI Adoption","IT News Online - ClearML Enhances AMD Instinct GPU Partitioning to Maximize Utilization , Centralize Management , and Accelerate Enterprise AI Adoption",-0.05287564017503432,0
2025-12-16,AMD,"This Tool Claims to Run the De - Facto CUDA Code on Non - NVIDIA GPUs , And a Major Upgrade Now Adds Support for AMD ROCm7","This Tool Claims to Run the De - Facto CUDA Code on Non - NVIDIA GPUs , And a Major Upgrade Now Adds Support for AMD ROCm7",-0.05287564017503432,0
2025-12-16,AMD,"ClearML Enhances AMD Instinct GPU Partitioning to Maximize Utilization , Centralize Management , and Accelerate Enterprise AI Adoption","ClearML Enhances AMD Instinct GPU Partitioning to Maximize Utilization , Centralize Management , and Accelerate Enterprise AI Adoption",-0.05287564017503432,0
2025-12-22,AMD,Linux 6 . 19 Boosts Legacy AMD Radeon GPUs with AMDGPU Driver Upgrade,Linux 6 . 19 Boosts Legacy AMD Radeon GPUs with AMDGPU Driver Upgrade,-0.00023262643623034318,0
2025-12-22,AMD,Linux 6 . 19 Significant ~30 % Performance Boost For Old AMD Radeon GPUs,Linux 6 . 19 Significant ~30 % Performance Boost For Old AMD Radeon GPUs,-0.00023262643623034318,0
2025-12-25,AMD,AMD EXPO 1 . 2 could supercharge Ryzen CPUs with CUDIMM support amid global DRAM crunch full AMD CUDIMM support is on the horizon,AMD EXPO 1 . 2 could supercharge Ryzen CPUs with CUDIMM support amid global DRAM crunch full AMD CUDIMM support is on the horizon,0.002883832277529752,1
2025-12-25,AMD,"This AMD - powered iBuyPower prebuilt has 32GB of DDR5 memory , Ryzen 7 CPU , and an RX 9060 XT GPU for just $1000 $250 off provides pricing relief during RAM pricing crisis","This AMD - powered iBuyPower prebuilt has 32GB of DDR5 memory , Ryzen 7 CPU , and an RX 9060 XT GPU for just $1000 $250 off provides pricing relief during RAM pricing crisis",0.002883832277529752,1
2025-12-26,AMD,"AMD RDNA3 / RDNA4 Go Down Hard On Linux 6 . 19 , But Here How The Older AMD GPUs End Out 2025","AMD RDNA3 / RDNA4 Go Down Hard On Linux 6 . 19 , But Here How The Older AMD GPUs End Out 2025",0.002883832277529752,1
2025-12-27,AMD,"AMD And NVIDIA Are Expected To Hike GPU Prices Early 2026 , And May Continue To Do So In The Following Months","AMD And NVIDIA Are Expected To Hike GPU Prices Early 2026 , And May Continue To Do So In The Following Months",-0.001252280838998976,0
2025-12-28,AMD,"NVIDIA Next - Gen Feynman GPUs Could See the Inclusion of Groq LPU Units By 2028 , Stacked as Separate Dies Similar to AMD X3D Approach","NVIDIA Next - Gen Feynman GPUs Could See the Inclusion of Groq LPU Units By 2028 , Stacked as Separate Dies Similar to AMD X3D Approach",-0.001252280838998976,0
2025-11-29,ASML,"BofA Reaffirms Buy on ASML , Citing DRAM Upside and Recovery Potential in China","BofA Reaffirms Buy on ASML , Citing DRAM Upside and Recovery Potential in China",0.019108667588036754,1
2025-12-02,ASML,Fidelity European Trust Rose In October With Chipmaker ASML Top Contributor,Fidelity European Trust Rose In October With Chipmaker ASML Top Contributor,0.028986826781881136,1
2025-12-03,ASML,Bank of America says ASML is its top semiconductor stock pick heading into 2026,Bank of America says ASML is its top semiconductor stock pick heading into 2026,-0.027030893228923936,0
2025-12-07,ASML,Taiwan Semiconductor Manufacturing vs . ASML : Which Stock Will Outperform in 2026 ?,Taiwan Semiconductor Manufacturing vs . ASML : Which Stock Will Outperform in 2026 ? ,-0.007368111201962346,0
2025-12-17,ASML,"ASML : AI Driving Semiconductor Equipment Sales Growth to $126 Billion by 2026 , ETTelecom","ASML : AI Driving Semiconductor Equipment Sales Growth to $126 Billion by 2026 , ETTelecom",0.020562782337113505,1
